Time,Bicep,Wrist
00:00.7,-0.017170815,0.061060365
00:00.7,-0.002404242,0.05433828
00:00.7,0.008500982,0.040171444
00:00.7,0.016079577,0.02205253
00:00.7,0.025311885,0.01161741
00:00.7,0.038948052,-0.011417456
00:00.7,0.053590983,-0.058008891
00:00.7,0.026597003,-0.069502532
00:00.7,0.020902636,-0.071116619
00:00.7,0.006024917,-0.056679837
00:00.7,-0.017761711,-0.023980318
00:00.7,-0.026819963,0.008429203
00:00.7,-0.025769938,0.015411152
00:00.7,-0.022790249,0.024014421
00:00.7,-0.014119221,0.028119903
00:00.7,-0.011476414,0.028782159
00:00.7,-0.003619104,0.031385127
00:00.7,0.00681396,0.030036582
00:00.7,0.008900236,0.021477884
00:00.7,0.014562089,0.013391012
00:00.7,0.017260421,0.006043233
00:00.7,0.017685752,-0.004851031
00:00.7,0.011967739,-0.012506496
00:00.7,0.011764158,-0.01742916
00:00.7,0.005808754,-0.029032676
00:00.7,0.005689223,-0.034408566
00:00.7,0.004543939,-0.030597577
00:00.7,-0.001714995,-0.02557045
00:00.7,-0.006104658,-0.024340587
00:00.7,-0.008936752,-0.020680478
00:00.7,-0.00602394,0.002382665
00:00.7,0.000176985,0.021890702
00:00.7,-0.001147998,0.019400565
00:00.7,0.001970401,0.016918536
00:00.7,0.002989664,0.023423357
00:00.7,0.00255707,0.030077768
00:00.7,0.001199933,0.017944764
00:00.7,-0.00513241,-0.000373715
00:00.7,-0.004971251,-0.007456671
00:00.7,-0.009773329,-0.015924398
00:00.7,-0.012607619,-0.015350495
00:00.7,-0.004897648,-0.01357863
00:00.7,-0.004793996,-0.015513321
00:00.7,-0.004814093,-0.010365937
00:00.7,-0.000373499,-0.005648195
00:00.7,0.00193146,-0.001491769
00:00.7,0.002703055,0.006492193
00:00.7,0.002432817,0.007121047
00:00.7,0.001514544,0.00761955
00:00.7,0.004727569,0.007925257
00:00.7,0.005634474,0.012476389
00:00.7,0.013905951,0.014592255
00:00.7,0.021258401,0.010369036
00:00.7,0.000245724,0.011443945
00:00.7,-0.027328903,0.002070351
00:00.7,-0.065074064,0.00050782
00:00.7,-0.086914077,-0.005125959
00:00.7,-0.086919375,-0.012704147
00:00.7,-0.067796171,-0.011703563
00:00.7,-0.037546303,-0.014347736
00:00.7,-0.006865627,-0.014314127
00:00.7,0.02176255,-0.012437961
00:00.7,0.042145506,-0.004933646
00:00.7,0.050932843,0.000976258
00:00.7,0.060360231,0.009889378
00:00.7,0.068718083,0.010808578
00:00.7,0.070411198,0.011121298
00:00.7,0.071466431,0.010905655
00:00.7,0.062122229,0.014719231
00:00.7,0.055285525,0.011509625
00:00.7,0.045232669,0.008596333
00:00.7,0.033309788,0.00150847
00:00.7,0.020624431,0.001390011
00:00.7,0.008062385,-0.00793017
00:00.7,-0.003693779,-0.013024298
00:00.7,-0.014144862,-0.010462985
00:00.7,-0.018483276,0.00114423
00:00.7,-0.023185613,0.003807845
00:00.7,-0.027619341,0.000715356
00:00.7,-0.031337854,0.012247801
00:00.7,-0.042995263,0.022561656
00:00.7,-0.044621821,0.039821845
